id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
04ded99c8e153bd1e236b012f07b2670,krakow,apartmentBuilding,52.0,2.0,5.0,9.0,,50.0571549,19.9595837,1.52,18.0,0.143,0.175,0.404,0.17,0.126,0.423,0.286,condominium,brick,premium,yes,yes,yes,no,no,5600
2bdfe5ff7ca75dfbfa1f8b5999140e29,krakow,blockOfFlats,30.0,2.0,2.0,3.0,1960.0,50.065836,19.9650421,2.23,17.0,0.267,0.094,0.602,0.55,0.088,0.261,0.085,condominium,brick,premium,no,no,no,no,no,2690
df39a03b263660869d4ee0885f172ecd,krakow,blockOfFlats,51.0,2.0,3.0,6.0,2015.0,50.0955222,19.9767227,5.24,7.0,0.605,1.469,0.307,0.458,0.135,1.88,0.254,condominium,,,no,yes,yes,no,no,2700
5d3a653862baa41115f83c4fce694257,krakow,tenement,52.0,2.0,1.0,3.0,1920.0,50.0690473,19.9264923,1.75,36.0,0.19,0.507,0.42,0.345,0.085,0.556,0.054,condominium,brick,premium,no,no,no,no,no,4900
72e9c747618300bb6dfe0280433f5adb,krakow,tenement,37.0,2.0,,2.0,,50.0406974,19.9438816,1.67,33.0,0.165,0.738,0.42,0.032,0.135,0.91,0.094,condominium,brick,,no,no,no,no,yes,2700
939e3bb5f7ec87a0adede6b4cebf4766,krakow,apartmentBuilding,69.0,2.0,9.0,13.0,2008.0,50.0716,19.8984,3.38,16.0,0.27,0.255,0.497,0.195,0.228,0.296,0.236,condominium,brick,,yes,yes,yes,yes,yes,3600
0d90022c62443aaf1831d52b51c6ab92,krakow,blockOfFlats,43.0,2.0,2.0,4.0,1980.0,50.0862743,19.9092507,4.03,20.0,0.289,1.308,0.205,0.108,0.017,1.504,0.13,condominium,,premium,yes,no,,no,no,2700
89733c265b7655875848271d9f50e862,krakow,blockOfFlats,38.3,2.0,1.0,4.0,1960.0,50.0823346,19.9584293,3.33,11.0,0.285,0.182,0.356,0.46,0.323,1.981,0.408,condominium,concreteSlab,,yes,yes,no,no,no,2700
9850b1c8c9916c16dc08fe163b66cdb2,krakow,blockOfFlats,36.0,2.0,,,2022.0,50.0454769,20.05657,8.5,0.0,0.671,2.318,0.956,2.465,1.335,3.774,2.385,condominium,,,no,yes,yes,no,no,2800
bc62587cca24bdfcdc84dedefa787f6d,krakow,tenement,58.0,3.0,2.0,2.0,1900.0,50.06739,19.95453,1.77,32.0,0.098,0.355,0.188,0.622,0.084,0.607,0.333,condominium,brick,,yes,no,no,no,no,3450
